,Source,Link
87,Swarajya,https://swarajyamag.com/insta/govt-could-rope-in-final-year-mbbs-and-pg-students-to-add-muscle-to-nations-fight-against-covid-19-pandemic
88,Swarajya,https://swarajyamag.com/insta/coronavirus-vhp-cancels-84-kosi-parikrama-in-ayodhya-as-covid-19-outbreak-grows-in-india
89,Swarajya,https://swarajyamag.com/insta/coronavirus-all-bjp-mps-to-donate-one-month-salary-additional-rs-1-crore-from-mplads-funds-to-fight-covid-19
90,Swarajya,https://swarajyamag.com/insta/principal-economic-adviser-sanjeev-sanyal-explains-the-thought-process-behind-indias-covid-19-response
91,Swarajya,https://swarajyamag.com/insta/us-biotech-firm-identifies-two-antibodies-that-may-be-effective-against-covid-19-human-trials-to-begin-in-3-5-months
92,Swarajya,https://swarajyamag.com/insta/with-1000-bed-capacity-odisha-to-open-indias-largest-covid-19-hospital-in-two-weeks
93,Swarajya,https://swarajyamag.com/insta/defence-minister-rajnath-singh-reviews-armed-forces-preparedness-to-tackle-covid-19-pandemic
94,Swarajya,https://swarajyamag.com/news-brief/battle-over-covid-handling-in-karnataka-as-portfolios-reallocated-twice-in-two-days-even-as-state-sees-its-second-covid-death
95,Swarajya,https://swarajyamag.com/insta/ccmb-likely-to-come-up-with-cost-effective-accurate-covid-19-diagnostic-kits-for-wide-distribution
96,Swarajya,https://swarajyamag.com/insta/no-stage-3-coronavirus-spread-in-india-yet-top-health-policy-maker-dr-v-k-paul-in-charge-of-indias-covid-19-response
97,Organizer,https://www.organiser.org//Encyc/2020/4/4/FIR-Against-a-JNU-student-who-threatened-to-spit-on-the-security-guard-and-spread-Corona-Virus-.html
98,Organizer,https://www.organiser.org//Encyc/2020/3/31/An-example-for-the-nation-.html
99,Organizer,https://www.organiser.org//Encyc/2020/3/24/Bihar-DGP-Appeals-People-To-Strictly-Follow-Lockdown-Till-March-31.html
100,Organizer,https://www.organiser.org//Encyc/2020/3/7/World-adopts-Bharatiya-practice-of-Namaste-to-greet-as-threat-of-Corona-virus-spreads.html
